,result,time(s)
p1,19471.0,2.7471258640289307
p2,18640.0,2.666368246078491
p3,20522.0,1.8773419857025146
p4,21002.0,2.070244312286377
p5,18698.0,3.7278270721435547
p6,18534.0,3.5397915840148926
p7,20565.0,3.56791615486145
p8,21542.0,3.413034677505493
p9,20126.0,0.2399425506591797
p10,18439.0,0.23287415504455566
p11,20625.0,0.24877285957336426
p12,22792.0,0.26590847969055176
p13,23678.0,0.4238719940185547
p14,21514.0,0.38440513610839844
p15,25028.0,0.3846578598022461
p16,27766.0,0.382692813873291
p17,24075.0,0.33643174171447754
p18,21238.0,0.3593771457672119
p19,24489.0,0.3726224899291992
p20,27564.0,0.351499080657959
p21,23651.0,0.33483290672302246
p22,20894.0,0.333085298538208
p23,24636.0,0.31845617294311523
p24,27537.0,0.3329906463623047
p25,86283.0,1.201183557510376
p26,86651.0,1.1213912963867188
p27,89768.0,1.1238443851470947
p28,96551.0,1.1278860569000244
p29,87749.0,1.1509833335876465
p30,85590.0,1.151247262954712
p31,88287.0,1.103071928024292
p32,92842.0,1.111574411392212
p33,90436.0,1.1041908264160156
p34,82167.0,1.1727967262268066
p35,92001.0,1.095628023147583
p36,98105.0,1.1181731224060059
p37,87654.0,1.1095755100250244
p38,88021.0,1.1526930332183838
p39,89909.0,1.0973730087280273
p40,98153.0,1.1206305027008057
p41,14290.0,4.039104700088501
p42,17170.0,0.5339431762695312
p43,17769.0,0.5963499546051025
p44,17587.0,34.10644578933716
p45,19367.0,0.6683132648468018
p46,20705.0,0.6040172576904297
p47,15955.0,36.27596187591553
p48,18229.0,0.7333416938781738
p49,19687.0,0.6464576721191406
p50,17977.0,16.910831689834595
p51,22386.0,0.8479270935058594
p52,22552.0,227.05039715766907
p53,27114.0,1.3836684226989746
p54,20774.0,579.2978217601776
p55,24466.0,1.5367255210876465
p56,81583.0,1.7561945915222168
p57,89914.0,1.8387348651885986
p58,111605.0,1.771277666091919
p59,96958.0,2.500676155090332
p60,81729.0,1.6039063930511475
p61,89951.0,1.442657470703125
p62,111258.0,1.505218267440796
p63,95416.0,1.4674088954925537
p64,81357.0,1.4360804557800293
p65,90403.0,1.5502068996429443
p66,110512.0,1.8469433784484863
p67,96202.0,1.5665621757507324
p68,82158.0,1.46956467628479
p69,89233.0,1.5738823413848877
p70,110790.0,1.4609289169311523
p71,94774.0,1.4632892608642578
